"store_id","city_name"
"34662",Lucknow
"34664",Hyderabad
"34666",Ahmedabad
"34668",Kolkata
"34670",Mumbai
"34672",Mumbai
"34674",Kolkata
"34676",Ahmedabad
"34679",Mumbai
"34680",Rohtak
"34682",Kundli
"34684",Noida
"34686",Delhi
"34688",Surat
"34722",Noida
"34724",Bahadurgarh
"34726",Kolkata
"34728",Kolkata
"34730",Noida
"34732",Gurgaon
"34734",Bengaluru
"34736",Jaipur
"34738",Lucknow
"34742",Bengaluru
"34744",Bengaluru
"34746",Delhi
"34748",Delhi
"34750",Mumbai
"34752",Bengaluru
"34754",Bengaluru
"34756",Bengaluru
"34758",Zirakpur
"34760",Mohali
"34762",Delhi
"34764",Mumbai
"34766",Bengaluru
"34768",Pune
"34770",Patiala
"34772",Jaipur
"34774",Zirakpur
"34776",Hyderabad
"34780",Bengaluru
"34782",Gurgaon
"34784",Mumbai
"34786",Gurgaon
"34790",Kolkata
"34792",Chennai
"34826",Chennai
"34828",Hyderabad
"34830",Delhi
"34833",Mumbai
"34835",Bengaluru
"34836",Faridabad
"34870",Gurgaon
"34872",Kolkata
"34874",Kolkata
"34878",Mumbai
"34912",Kanpur
"34946",Chennai
"34948",Kanpur
"34950",Gurgaon
"34988",Ghaziabad
"34990",Gurgaon
"34992",Gurgaon
"34994",Bengaluru
"34996",Gurgaon
"35000",Goa
"35002",Mumbai
"35004",Amritsar
"35006",Rohtak
"35008",Delhi
"35010",Gurgaon
"35012",Noida
"35014",Kolkata
"35016",Kolkata
"35018",Mumbai
"35020",Mumbai
"35022",Lucknow
"35024",Faridabad
"35026",Mumbai
"35028",Ahmedabad
"35030",Mumbai
"35032",Ahmedabad
"35034",Pune
"35038",Noida
"35040",Chennai
"35076",Mumbai
"35080",Jaipur
"35082",Kolkata
"35084",Chennai
"35086",Lucknow
"35088",Bengaluru
"35122",Kolkata
"35156",Delhi
"35158",Ghaziabad
"35160",Delhi
"35194",Lucknow
"35228",Indore
"35262",Pune
"35264",Bengaluru
"35298",Delhi
"35300",Ahmedabad
"35304",Lucknow
"35306",Kharar
"35310",Hyderabad
"35312",Pune
"35314",Dehradun
"35316",Dehradun
"35318",Bhopal
"35320",Noida
"35322",Bengaluru
"35324",Delhi
"35326",Chennai
"35328",Delhi
"35330",Delhi
"35332",Delhi
"35334",Gurgaon
"35336",Jaipur
"35338",Meerut
"35372",Hyderabad
"35374",Delhi
"35376",Mumbai
"35378",Jaipur
"35380",Lucknow
"35382",Pune
"35384",Amritsar
"35386",Pune
"35388",Bengaluru
"35390",Delhi
"35392",Surat
"35426",Gurgaon
"35460",Delhi
"35494",Bengaluru
"35528",Ahmedabad
"35530",Pune
"35532",Pune
"35534",Pune
"35536",Lucknow
"35538",Hyderabad
"35540",Delhi
"35542",Kolkata
"35546",Chennai
"35548",Chennai
"35550",Surat
"35552",Chennai
"35554",Delhi
"35556",Bengaluru
"35558",Bengaluru
"35560",Hyderabad
"35562",Chennai
"35564",Gurgaon
"35566",Mumbai
"35568",Bengaluru
"35570",Bengaluru
"35572",Bengaluru
"35574",Delhi
"35576",Ghaziabad
"35578",Bengaluru
"35582",Noida
"35584",Delhi
"35586",Ahmedabad
"35588",Gurgaon
"35590",Jaipur
"35592",Gurgaon
"35594",Kolkata
"35596",Jaipur
"35630",Hyderabad
"35632",Gurgaon
"35634",Delhi
"35636",Delhi
"35638",Faridabad
"35640",Mumbai
"35644",Delhi
"35646",Hyderabad
"35647",Pune
"35648",Ahmedabad
"35654",Mumbai
"35656",Ghaziabad
"35658",Delhi
"35660",Delhi
"35662",Hyderabad
"35664",Mumbai
"35668",Ludhiana
"35670",Chennai
"35674",Jaipur
"35680",Bengaluru
"35682",Mumbai
"35684",Vijayawada
"35686",Vijayawada
"35688",Bhopal
"35690",Delhi
"35694",Goa
"35698",Lucknow
"35700",Bhiwadi
"35702",Noida
"35704",Bengaluru
"35706",Haridwar
"35710",Bathinda
"35750",Kharar
"35754",Jodhpur
"35756",Kochi
"35792",Gurgaon
"35794",Kolkata
"35798",Delhi
"35832",Kolkata
"35834",Kolkata
"35838",Delhi
"35840",Delhi
"35842",Hyderabad
"35844",Ahmedabad
"35846",Nagpur
"35848",Ahmedabad
"35850",Mumbai
"35852",Kochi
"35886",Kolkata
"35888",Pune
"35890",Sonipat
"35892",Pune
"35894",Bengaluru
"35896",Kochi
"35898",Hyderabad
"35900",Mysore
"35902",Pune
"35904",Gurgaon
"35906",Ahmedabad
"35908",Kolkata
"35910",Pune
"35912",Alwar
"35914",Ahmedabad
"35916",Agra
"35918",Delhi
"35920",Delhi
"35922",Varanasi
"35926",Vijayawada
"35928",Ahmedabad
"35930",Vijayawada
"35932",Karnal
"35934",Rajkot
"35936",Surat
"35942",Kota
"35946",Jamshedpur
"35950",Surat
"35952",Vijayawada
"35954",Coimbatore
"35956",Coimbatore
"35958",Rewa
"35960",Visakhapatnam
"35994",Kolkata
"35996",Patiala
"35998",Ghaziabad
"36000",Pune
"36002",Pune
"36004",Lucknow
"36006",Ranchi
"36008",Kanpur
"36010",Bengaluru
"36012",Nagpur
"36014",Chennai
"36024",Goa
"36028",Jaipur
"36030",Vadodara
"36032",Pune
"36034",Delhi
"36036",Kolkata
"36038",Lucknow
"36040",Jalandhar
"36044",Mumbai
"36046",Mumbai
"36048",Gurgaon
"36052",Jaipur
"36054",Roorkee
"36056",Indore
"36058",Agra
"36060",Delhi
"36062",Jaipur
"36064",Lucknow
"36066",Dehradun
"36070",Delhi
"36072",Faridabad
"36074",Pune
"36076",Chandigarh
"36078",Phagwara
"36080",Jalandhar
"36082",Ahmedabad
"36084",Vadodara
"36086",Mohali
"36154",Bengaluru
"36189",Panchkula
"36220",Chennai
"36222",Bengaluru
"36224",Visakhapatnam
"36226",Kolkata
"36230",Faridabad
"36232",Kochi
"36253",Jaipur
"36255",Rajkot
"36257",Mumbai
"36261",Jalandhar
"36263",Mumbai
"36267",Delhi
"36269",Mumbai
"36286",Panipat
"36288",Pune
"36290",Amritsar
"36292",Gurgaon
"36294",Prayagraj
"36296",Nagpur
"36298",Bhiwadi
"36300",Lucknow
"36302",Delhi
"36304",Udaipur
"36306",Chandigarh
"36310",Kochi
